trainee_id,name,birth_date,birth_place,birth_place_2,rating_track,final_rank,是否成团,show_name,query_primary,query_alt
chuang2021_001,刘宇,2000年8月24日（25岁）,安徽,,A→A→A→A→A→A,1,1,创造营2021,刘宇 创造营2021,刘宇 创4
chuang2021_002,赞多,1998年3月11日（28岁）,日本爱知,,A→C→A→A→A→A,2,1,创造营2021,赞多 创造营2021,赞多 创4
chuang2021_003,力丸,1993年11月2日（32岁）,日本兵库,,A→A→A→A→A→A,3,1,创造营2021,力丸 创造营2021,力丸 创4
chuang2021_004,米卡,1998年12月21日（27岁）,美国夏威夷,,F[注 2]→B→A→A→A→A,4,1,创造营2021,米卡 创造营2021,米卡 创4
chuang2021_005,高卿尘,1999年7月11日（26岁）,泰国曼谷,,B→C→B→B→B→A,5,1,创造营2021,高卿尘 创造营2021,高卿尘 创4
chuang2021_006,林墨,2002年1月6日（24岁）,重庆,,A→B→A→A→A→A,6,1,创造营2021,林墨 创造营2021,林墨 创4
chuang2021_007,伯远,1993年2月11日（33岁）,贵州,,A→B→A→B→A→B,7,1,创造营2021,伯远 创造营2021,伯远 创4
chuang2021_008,张嘉元,2003年1月8日（23岁）,辽宁营口,,C→B→C→A→A→A,8,1,创造营2021,张嘉元 创造营2021,张嘉元 创4
chuang2021_009,尹浩宇,2003年10月20日（22岁）,德国,,F[注 2]→C→A→A→A→A,9,1,创造营2021,尹浩宇 创造营2021,尹浩宇 创4
chuang2021_010,周柯宇,2002年5月17日（23岁）,美国,,F[注 2]→C→C→A→A→A,10,1,创造营2021,周柯宇 创造营2021,周柯宇 创4
chuang2021_011,刘彰,1999年12月18日（26岁）,广东珠海,,F[注 2]→B→B→B→B→B,11,1,创造营2021,刘彰 创造营2021,刘彰 创4
chuang2021_012,庆怜,2001年4月12日（24岁）,,古巴,B→C→B→A→B→A,12,0,创造营2021,庆怜 创造营2021,庆怜 创4
chuang2021_013,奥斯卡,1998年7月30日（27岁）,,巴西,A→C→B→A→A→B,13,0,创造营2021,奥斯卡 创造营2021,奥斯卡 创4
chuang2021_014,甘望星,2000年7月17日（25岁）,,湖南,C→C→C→B→A→B,14,0,创造营2021,甘望星 创造营2021,甘望星 创4
chuang2021_015,井汲大翔,2002年8月23日（23岁）,,日本大阪,B→A→B→B→B→B,15,0,创造营2021,井汲大翔 创造营2021,井汲大翔 创4
chuang2021_016,张星特,2003年2月11日（23岁）,,浙江温州,B→B→B→B→B→B,16,0,创造营2021,张星特 创造营2021,张星特 创4
chuang2021_017,利路修,1994年1月23日（32岁）,,俄罗斯海参崴,F→B→F→B→B→A,17,0,创造营2021,利路修 创造营2021,利路修 创4
chuang2021_018,吴宇恒,1996年9月11日（29岁）,,四川成都,C→A→A→B→B→B,18,0,创造营2021,吴宇恒 创造营2021,吴宇恒 创4
chuang2021_019,任胤蓬,1999年9月12日（26岁）,,重庆,C→A→F→A→B→B,19,0,创造营2021,任胤蓬 创造营2021,任胤蓬 创4
chuang2021_020,张欣尧,1994年11月21日（31岁）,,内蒙古赤峰,C→B→B→B→B→B,20,0,创造营2021,张欣尧 创造营2021,张欣尧 创4
chuang2021_021,俞更寅,1996年4月28日（29岁）,,广东汕尾,A→B→A→B→B→B,21,0,创造营2021,俞更寅 创造营2021,俞更寅 创4
chuang2021_022,付思超,1999年11月11日（26岁）,,北京,C→B→F→B→B→B,22,0,创造营2021,付思超 创造营2021,付思超 创4
chuang2021_023,胡烨韬,2000年9月22日（25岁）,,江苏,A→A→A→B→B→B,23,0,创造营2021,胡烨韬 创造营2021,胡烨韬 创4
chuang2021_024,羽生田挙武,1997年11月26日（28岁）,,日本东京,B→F→B→B→B→B,24,0,创造营2021,羽生田挙武 创造营2021,羽生田挙武 创4
chuang2021_025,薛八一,1999年8月1日（26岁）,,山西,C→B→F→B→B→B,25,0,创造营2021,薛八一 创造营2021,薛八一 创4
