trainee_id,trainee_name,final_rank,is_debut,total_posts,total_engagement,first_week_engagement,finals_week_engagement,peak_week,peak_engagement,peak_over_first_engagement,finals_over_first_engagement,post_count_growth,engagement_per_post
idol_producer_001,蔡徐坤,1.0,1,68,2262,47,493,2,1629,34.659574,10.489362,6.333333,33.264706
idol_producer_002,陈立农,2.0,1,80,6603,73,4462,11,4462,61.123288,61.123288,9.5,82.5375
idol_producer_003,范丞丞,3.0,1,67,6262,367,4430,11,4430,12.070845,12.070845,5.333333,93.462687
idol_producer_004,黄明昊,4.0,1,64,12819,864,3846,2,7544,8.731481,4.451389,3.75,200.296875
idol_producer_005,林彦俊,5.0,1,68,5028,116,4568,11,4568,39.37931,39.37931,4.2,73.941176
idol_producer_006,朱正廷,6.0,1,61,4663,199,4425,11,4425,22.236181,22.236181,0.615385,76.442623
idol_producer_007,王子异,7.0,1,68,35104,2058,4045,5,26385,12.8207,1.9655,3.2,516.235294
idol_producer_008,小鬼,8.0,1,74,5486,20,4552,11,4552,227.6,227.6,6.333333,74.135135
idol_producer_009,尤长靖,9.0,1,50,2746,10,2151,11,2151,215.1,215.1,7.333333,54.92
idol_producer_010,毕雯珺,10.0,0,63,13000,10248,1311,1,10248,1.0,0.127927,2.714286,206.349206
idol_producer_011,钱正昊,11.0,0,67,4220,2812,52,1,2812,1.0,0.018492,5.0,62.985075
idol_producer_012,卜凡,12.0,0,47,28910,209,32,5,26410,126.363636,0.15311,4.5,615.106383
idol_producer_013,李希侃,13.0,0,56,3630,2884,233,2,2884,1.0,0.080791,4.333333,64.821429
idol_producer_014,朱星杰,14.0,0,58,9779,631,8554,11,8554,13.55626,13.55626,7.0,168.603448
idol_producer_015,灵超,15.0,0,65,2894,7,204,7,2260,322.857143,29.142857,17.0,44.523077
idol_producer_016,郑锐彬,16.0,0,64,1410,500,164,1,500,1.0,0.328,4.5,22.03125
idol_producer_017,董又霖,17.0,0,57,11758,0,72,3,9119,0.0,0.0,16.0,206.280702
idol_producer_018,秦奋,18.0,0,55,19685,5472,93,2,7238,1.322734,0.016996,3.666667,357.909091
idol_producer_019,林超泽,19.0,0,64,11197,10,249,3,8617,861.7,24.9,6.5,174.953125
idol_producer_020,徐圣恩,20.0,0,76,8875,0,0,7,7307,0.0,0.0,27.0,116.776316
idol_producer_021,丁泽仁,,0,54,1236,1,207,5,580,580.0,207.0,14.0,22.888889
idol_producer_022,万宇贤,,0,9,5614,0,835,3,4448,0.0,0.0,3.0,623.777778
idol_producer_023,于斌,,0,10,4484,4448,2,3,4448,1.0,0.00045,1.0,448.4
idol_producer_024,于浩,,0,53,13195,70,82,7,4718,67.4,1.171429,4.333333,248.962264
idol_producer_025,伽里,,0,50,1104,0,6,3,580,0.0,0.0,8.0,22.08
idol_producer_026,何东东,,0,77,31556,7,857,5,23418,3345.428571,122.428571,7.666667,409.818182
idol_producer_027,何嘉庚,,0,17,11307,30,1043,3,9315,310.5,34.766667,8.0,665.117647
idol_producer_028,余明君,,0,83,29604,506,11,5,15315,30.266798,0.021739,2.142857,356.674699
idol_producer_029,侯浩然,,0,18,41339,1419,425,3,39053,27.521494,0.299507,0.5,2296.611111
idol_producer_030,凌崎,,0,84,17925,37,5,3,12621,341.108108,0.135135,2.3,213.392857
idol_producer_031,叶泓希,,0,45,12740,958,3,3,6475,6.758873,0.003132,9.0,283.111111
idol_producer_032,吕晨瑜,,0,50,16473,506,717,3,7417,14.658103,1.416996,4.2,329.46
idol_producer_033,周彦辰,,0,70,2054,1019,33,3,1019,1.0,0.032385,14.5,29.342857
idol_producer_034,周腾阳,,0,8,4758,0,1,3,4448,0.0,0.0,0.5,594.75
