trainee_id,trainee_name,show_name,window_label,window_start,window_end,window_keyword,post_id,post_url,created_at,text_clean,reposts_count,comments_count,attitudes_count,hotness_score,rank
chuang2021_001,刘宇,创造营2021,决赛阶段,2021-04-18,2021-04-24,刘宇 创造营2021,4629643061888728,https://m.weibo.cn/detail/4629643061888728,2021-04-24 22:59:00,#创造营成团名单# #创造营成团夜# 创造营2021成团名单 第一名 刘宇 第二名 赞多 第三名 力丸 第四名 米卡 第五名 高卿尘 第六名 林墨 第七名 伯远 第八名 张嘉元 第九名 尹浩宇 第十名 周柯宇 第十一名 ak刘彰 呜呜 刘宇终于打破魔咒了 可是我的吴宇恒和吉祥弟弟 收起 d,0,26,140,192,1
chuang2021_001,刘宇,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,刘宇 创造营2021,4622032689958060,https://m.weibo.cn/detail/4622032689958060,2021-04-03 22:58:00, 满塘宇超话 我脱赞了，求踢踢踢踢踢踢踢踢踢，我还要去给 @创造营2021-刘宇 点赞 ​,0,21,77,119,2
chuang2021_001,刘宇,创造营2021,首次排名阶段,2021-03-14,2021-03-20,刘宇 创造营2021,4616959226287975,https://m.weibo.cn/detail/4616959226287975,2021-03-20 22:58:00, 刘宇超话 ✨ #刘宇第一# ✨ #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 热闹的一晚 事肯定多 明天三公选曲记得 紧跟Hyh！切勿分流！切勿分流！必须让小宇c！不c宝贝给人当伴舞你舍得吗？？？一定要紧跟hyh！ 遇到黑帖 举报 链结直接投反黑站 脱赞或是其他做完了去反黑站反黑 积极积极！黑帖眼不见为净多看只会心烦意乱 积极反黑即可 黑人小程序 差距越拉越大 数据丝毫无上涨 别躺了球球了 断层不是说说而已 拜托阿 快急哭了 纯甄那玩意那么难做我们都超回来了 黑人不行吗？可以的！冲冲冲冲！ 积极数据 数据第一 正片别看了 Cut下来没几分钟 鹅接着虐我们别躺了拜托 冲数据 搞断层c 才能最大限度帮到小宇！小宇靠我们了！努努力吧！冲冲冲！❤️✨ @创造营2021-刘宇 收起 d,0,30,48,108,3
chuang2021_001,刘宇,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,刘宇 创造营2021,4627105863966933,https://m.weibo.cn/detail/4627105863966933,2021-04-17 22:57:00, 刘宇超话 💙 #纯甄为刘宇撑腰# 最后七天 什么也不要管 专注打投 奶票第一 撑腰第一 明天中午12点会实时更新排名（连续三天 无变化最好 有变化不慌（去年c一次都没第一 稳住 只有终C才是唯一目标 @创造营2021-刘宇 ​,0,14,34,62,4
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609346845810207,https://m.weibo.cn/detail/4609346845810207,2021-02-27 22:49:00, 好多宇超话 这个歪头和微笑鲨我 盯妻ing #刘宇 创造营2021# ​,0,4,41,49,5
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609347432220927,https://m.weibo.cn/detail/4609347432220927,2021-02-27 22:52:00,#高卿尘创造营2021# 🍓 #高卿尘夸刘宇# 可爱的高卿尘弟弟 @创造营2021-高卿尘 和刘宇弟弟 @创造营2021-刘宇 成为上下铺啦，哈哈哈哈😂太像军训的时候抢宿舍了，弟弟们加油哦🐳小九和刘宇真是爱学习的仔，一起看泰文书📖，一起聊天，以后也好好努力，一起进步吧🇹🇭🇨🇳 L 水TAMMY樱的微博视频 收起 d,0,4,39,47,6
chuang2021_001,刘宇,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,刘宇 创造营2021,4622031632471764,https://m.weibo.cn/detail/4622031632471764,2021-04-03 22:54:00,刘宇的发言，精曹狂喜！！！不说前面，就作为魏武迷妹我都得给你投票！！！ #创造营2021# #刘宇第四# ​,0,4,33,41,7
chuang2021_001,刘宇,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,刘宇 创造营2021,4622031629584084,https://m.weibo.cn/detail/4622031629584084,2021-04-03 22:54:00, 刘宇超话  刘宇超话 #刘宇 创造营2021# 提醒鱼丸和鲨姐们一些注意事项 4月4日🈲娱公告‼️‼️‼️ —— 2021.4.4是国家禁娱日 超话可正常签到，但是 不要发布与刘宇相关 不要带有娱乐性质的话题 不要发以各种形式安利刘宇（图片 视频等） 国家至上 不要触碰国家底线❗ 鱼丸和鲨姐们看到了一定要互相告知❗ @创造营2021-刘宇 （转自一位鲨姐） 收起 d,0,6,29,41,8
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609349400137239,https://m.weibo.cn/detail/4609349400137239,2021-02-27 22:59:00, 刘宇超话 刘宇 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 各位求踢的 格式不对的（超话之后没加话题的）求求你们求踢去副超行不 正超不让踢 办事的正帖全被你们顶没了啥也看不见 我裂开直接升天爆炸，副超指路刘宇大微博，格式错的去看看萌新科普行不 我一个一个回天天进小黑屋 绝了 @创造营2021-刘宇 收起 d,1,13,13,40,9
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609346850262517,https://m.weibo.cn/detail/4609346850262517,2021-02-27 22:49:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 姐妹们，我们是不是可以考虑一下和青你换票，我们帮他投，他们也帮我们投这样 和创内其他成员的粉丝也可以换票呀，一个号可以投好几个成员啊 （个人意见，不妥删） @创造营2021-刘宇 ​,0,9,19,37,10
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609347881276669,https://m.weibo.cn/detail/4609347881276669,2021-02-27 22:53:00, 刘宇超话 #刘宇 创造营2021# 我想进打投组！ 我贼能熬夜！ ​,0,13,11,37,11
chuang2021_001,刘宇,创造营2021,首次排名阶段,2021-03-14,2021-03-20,刘宇 创造营2021,4616959289203759,https://m.weibo.cn/detail/4616959289203759,2021-03-20 22:58:00,#刘宇 比刘宇做得更好的只有刘宇# 比刘宇更好看的只有下一分钟的刘宇 初C即终C我们一起追光 @创造营2021-刘宇 ​​​,0,0,35,35,12
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609348511210045,https://m.weibo.cn/detail/4609348511210045,2021-02-27 22:56:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 是真的没有意识到重要性吗？其他选手家都猛冲但有些咱小姐妹还在岁月静好，选秀不是你崽优秀有颜就可以出道的，粉丝不给力不逆天改命就等着祭天吧，出去看看别人是怎么努力的我们要学习借鉴一下不 🔴多安利多安利多安利（但是要点到为止多了人就会产生厌恶的） @创造营2021-刘宇 收起 d,0,5,21,31,13
chuang2021_001,刘宇,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,刘宇 创造营2021,4622031687781595,https://m.weibo.cn/detail/4622031687781595,2021-04-03 22:54:00, 刘宇超话 唉，我宝肯定又憋屈又难受呀 梨花带雨的样子 太让我心疼了 我们绝不会放弃的 你有我们的 相信我们呀 @创造营2021-刘宇 ​,0,3,21,27,14
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609348729569654,https://m.weibo.cn/detail/4609348729569654,2021-02-27 22:57:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 今天的可爱宝贝截修 恭喜小宇A班，期待宝宝的莲！！！ @创造营2021-刘宇 ​,1,3,19,26,15
chuang2021_001,刘宇,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,刘宇 创造营2021,4614422498381255,https://m.weibo.cn/detail/4614422498381255,2021-03-13 22:58:00,#创造营排名# 创造营2021最新排名公布！恭喜刘宇获得第一！初C实至名归！ ​​​ipad雪碧养乐多 ​,0,1,23,25,16
chuang2021_001,刘宇,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,刘宇 创造营2021,4614422842313449,https://m.weibo.cn/detail/4614422842313449,2021-03-13 22:59:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 出直拍了快刷快刷方法跟之前一样，找数据站微博看，快 L 主题曲直拍-刘宇《我们一起闯》 创造营2021-刘宇 ​,0,7,11,25,17
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609348392718637,https://m.weibo.cn/detail/4609348392718637,2021-02-27 22:55:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# #创4排名# 刘宇排名就低的离谱，各项可视数据都是第一，结果排名第七？？？ @创造营2021-刘宇 L 吾曰蛮蛮的微博视频 ​,0,4,12,20,18
chuang2021_001,刘宇,创造营2021,首次排名阶段,2021-03-14,2021-03-20,刘宇 创造营2021,4616958853781515,https://m.weibo.cn/detail/4616958853781515,2021-03-20 22:57:00,#刘宇 比刘宇做得更好的只有刘宇# “take take take take 就打我不倒” 永远打不倒刘宇和鱼丸 @创造营2021-刘宇 ​,0,0,19,19,19
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609347303245274,https://m.weibo.cn/detail/4609347303245274,2021-02-27 22:51:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 救命！！今晚的更新疯狂在找老大的镜头！！ 有老大出现的镜头直接反复看三四遍 天呐 老大简直就是自带磨皮效果的好皮肤 羡慕死了呜呜呜 后面看到lw和老大两个小可爱击掌我直接原地死亡 现在的排名还是有丶低啊啊啊好心疼 希望一公出来之后能有更多人喜欢我们老大！！送他高位出道啊！！ @创造营2021-刘宇 收起 d,0,1,15,17,20
chuang2021_001,刘宇,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,刘宇 创造营2021,4614422670090141,https://m.weibo.cn/detail/4614422670090141,2021-03-13 22:59:00, 刘宇超话 #刘宇# 🙅 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 一部分插旗汇总🚩🚩🚩🚩 联合🚩 人头🚩 金额🚩都有‼️‼️ 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 微博正文 @创造营2021-刘宇 收起 d,0,5,4,14,21
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609349358717557,https://m.weibo.cn/detail/4609349358717557,2021-02-27 22:59:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 老婆A的我直呼老公 @创造营2021-刘宇 ​,0,0,10,10,22
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609347491201610,https://m.weibo.cn/detail/4609347491201610,2021-02-27 22:52:00, 刘宇超话 ly #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 淦！我想穿越，这也太帅了，反差好大，我需要吸氧 @创造营2021-刘宇 ​,0,0,9,9,23
chuang2021_001,刘宇,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,刘宇 创造营2021,4614422435989117,https://m.weibo.cn/detail/4614422435989117,2021-03-13 22:58:00, 创造营2021超话 第4期上主题曲越听越好听啊，真是！！ 不愧是你AK，太狂了 伯远，人间温柔本体 刘宇，优秀是一种习惯 韩佩泉给奶奶磕头那段，我真的，世界上怎么又这么懂事又让人心疼的人呢 米卡，沸羊羊我开始磕了谢谢！ 尹浩宇，真是闷声干大事的人。 正当我想吐槽时长短时，第4期（下）来了， 啊！！幸好没错过！ 第4期下 “鹅创”环节 #创4二创舞台好有才# 感谢二创给每个人一个展示魅力的地方 ①银河旅行团 好喜欢呐喊那一段！改的特别好听，我巨听！！ ②葫芦金刚 建议队名改成：不齐的ei～oh！ ③葫芦金刚（2） 有刘宇在的舞台，都叫做赞美，国风舞台看得我民族自豪感爆棚！！！！！！！ ④如狮添翼 创意满分，世界之大，都会舞狮的缘分绝了！！ ⑤handsome boys 沸羊羊帅到我了！！！张星特神仙弟弟！！！ 整组都有性感男人的魅力！ ⑥Friends 音乐剧的感觉，炸翻全场，我目不转睛盯着每个人，每个part我都吸烟刻肺 ⑦热搜预定 笑得我满地找头！！！！不愧韩美娟带出来的团！我连看了3遍！！！脸都笑僵了！！啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈俞更寅！！！啊我死了！游到我心里了，啊！！！！ 周深老师做你自己！！！你内一声！整个营撒欢儿的乱跑！！！！！我在屏幕前一顿尖叫！！！！！ 收起 d,0,1,6,8,24
chuang2021_001,刘宇,创造营2021,决赛阶段,2021-04-18,2021-04-24,刘宇 创造营2021,4629643045110091,https://m.weibo.cn/detail/4629643045110091,2021-04-24 22:59:00,#创造营成团名单# #刘宇c位出道# 《创造营2021》总决赛结果公布！最终11人成团名单为： 第一名：刘宇 第二名：赞多 第三名：力丸 第四名：米卡 第五名：高卿尘 第六名：林墨 第七名：伯远 第八名：张嘉元 第九名：尹浩宇 第十名：周柯宇 第十一名：刘彰 ​,0,1,5,7,25
chuang2021_001,刘宇,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,刘宇 创造营2021,4614422377798681,https://m.weibo.cn/detail/4614422377798681,2021-03-13 22:58:00, 刘宇超话 #黑人牙膏白酵素助力创造营刘宇闪耀闯关# 真的天天做数据真的很累 每天六点钟爬起来早自习，下课第一件事就是打卡q音wsks撑腰榜，吃饭时也习惯刷直拍刷各种衍生榜刷数据比网课还积极，虽然每天都是从6点到九点🈵课周末也要持续上课但是还是很多碎片时间做一些事情的，做数据虽然累但是也是很有成就感的，所以还是重视这件事情就好，时间挤一挤还是有的，为了小宇大家还是努力做数据吧！ @创造营2021-刘宇 收起 d,0,0,6,6,26
chuang2021_001,刘宇,创造营2021,决赛阶段,2021-04-18,2021-04-24,刘宇 创造营2021,4629643112751090,https://m.weibo.cn/detail/4629643112751090,2021-04-24 22:59:00,很感谢很感谢刘宇你那么坚强，去追求你的热爱，感谢你永远那么温柔强大，我们的头两个月到这里结束啦，以后我们还会有很多很多个第一 很高兴能一路见证你登顶的过程，这不是结束，是我们的开始 永远追逐你的热爱吧，我会永远追逐我的热爱还有你 我的男孩，继续做颗星星，有棱有角，闪闪发光，星途璀璨，平安喜乐，万事胜意 @创造营2021-刘宇 收起 d,0,0,6,6,27
chuang2021_001,刘宇,创造营2021,初评级阶段,2021-02-17,2021-02-27,刘宇 创造营2021,4609348506484931,https://m.weibo.cn/detail/4609348506484931,2021-02-27 22:56:00,创造营2021 3.15举行红毯秀 海南儋州 全体学员+6位导师/助教/发起人都在，正规名额，审核过短信通知，想报的速私 导师：邓超 宁静 周深 amber刘逸云 周震南 助教：nene郑乃馨 学员： 张嘉元 任胤蓬 付思超 林墨 吴海 陆定昊 怿涵 何屹繁 周柯宇 刘宇 吴宇恒 李泰龙 代少冬 俞更寅 张腾 肖力桓 诺言 甘望星 胡烨韬 张欣尧 荣耀 井胧 刘聪 屈柏宇 韦语节 叶皓然 戴学霖 伯远 李政庭 陈俊洁 李沛洋 郑明鑫 邵明明 阿克朱立 Amu羽生田挙武 Yuu喜内优心 门胁慎刚 一之濑飞鸟 原部凌 林豆 收起 d,0,2,1,5,28
