trainee_id,name,name_extra,company,nationality,birth_date,height_cm,weight_kg,notes,final_rank,是否成团,query_primary,query_alt
idol_producer_001,蔡徐坤,Cai Xukun,,,,,,,1.0,1,蔡徐坤 偶像练习生,蔡徐坤 idol producer
idol_producer_002,陈立农,Chen Linong,,,,,,,2.0,1,陈立农 偶像练习生,陈立农 idol producer
idol_producer_003,范丞丞,Fan Chengcheng,,,,,,,3.0,1,范丞丞 偶像练习生,范丞丞 idol producer
idol_producer_004,黄明昊,Justin,,,,,,,4.0,1,黄明昊 偶像练习生,黄明昊 idol producer
idol_producer_005,林彦俊,Lin Yanjun,,,,,,,5.0,1,林彦俊 偶像练习生,林彦俊 idol producer
idol_producer_006,朱正廷,Zhu Zhengting,,,,,,,6.0,1,朱正廷 偶像练习生,朱正廷 idol producer
idol_producer_007,王子异,Wang Ziyi,,,,,,,7.0,1,王子异 偶像练习生,王子异 idol producer
idol_producer_008,小鬼,Xiao Gui,,,,,,,8.0,1,小鬼 偶像练习生,小鬼 idol producer
idol_producer_009,尤长靖,You Zhangjing,,,,,,,9.0,1,尤长靖 偶像练习生,尤长靖 idol producer
idol_producer_010,毕雯珺,Bi Wenjun,,,,,,,10.0,0,毕雯珺 偶像练习生,毕雯珺 idol producer
idol_producer_011,钱正昊,Qian Zhenghao,,,,,,,11.0,0,钱正昊 偶像练习生,钱正昊 idol producer
idol_producer_012,卜凡,,,,,,,,12.0,0,卜凡 偶像练习生,卜凡 idol producer
idol_producer_013,李希侃,Li Xikan,,,,,,,13.0,0,李希侃 偶像练习生,李希侃 idol producer
idol_producer_014,朱星杰,Zhu Xingjie,,,,,,,14.0,0,朱星杰 偶像练习生,朱星杰 idol producer
idol_producer_015,灵超,,,,,,,,15.0,0,灵超 偶像练习生,灵超 idol producer
idol_producer_016,郑锐彬,,,,,,,,16.0,0,郑锐彬 偶像练习生,郑锐彬 idol producer
idol_producer_017,董又霖,Jeffrey,,,,,,,17.0,0,董又霖 偶像练习生,董又霖 idol producer
idol_producer_018,秦奋,Qin Fen,,,,,,,18.0,0,秦奋 偶像练习生,秦奋 idol producer
idol_producer_019,林超泽,Lin Chaoze,,,,,,,19.0,0,林超泽 偶像练习生,林超泽 idol producer
idol_producer_020,徐圣恩,Xu Shengen,,,,,,,20.0,0,徐圣恩 偶像练习生,徐圣恩 idol producer
idol_producer_021,丁泽仁,,,,,,,,,0,丁泽仁 偶像练习生,丁泽仁 idol producer
idol_producer_022,万宇贤,,,,,,,,,0,万宇贤 偶像练习生,万宇贤 idol producer
idol_producer_023,于斌,,,,,,,,,0,于斌 偶像练习生,于斌 idol producer
idol_producer_024,于浩,,,,,,,,,0,于浩 偶像练习生,于浩 idol producer
idol_producer_025,伽里,,,,,,,,,0,伽里 偶像练习生,伽里 idol producer
idol_producer_026,何东东,,,,,,,,,0,何东东 偶像练习生,何东东 idol producer
idol_producer_027,何嘉庚,,,,,,,,,0,何嘉庚 偶像练习生,何嘉庚 idol producer
idol_producer_028,余明君,,,,,,,,,0,余明君 偶像练习生,余明君 idol producer
idol_producer_029,侯浩然,,,,,,,,,0,侯浩然 偶像练习生,侯浩然 idol producer
idol_producer_030,凌崎,,,,,,,,,0,凌崎 偶像练习生,凌崎 idol producer
idol_producer_031,叶泓希,,,,,,,,,0,叶泓希 偶像练习生,叶泓希 idol producer
idol_producer_032,吕晨瑜,,,,,,,,,0,吕晨瑜 偶像练习生,吕晨瑜 idol producer
idol_producer_033,周彦辰,,,,,,,,,0,周彦辰 偶像练习生,周彦辰 idol producer
idol_producer_034,周腾阳,,,,,,,,,0,周腾阳 偶像练习生,周腾阳 idol producer
idol_producer_035,周锐,,,,,,,,,0,周锐 偶像练习生,周锐 idol producer
idol_producer_036,姜京佐,,,,,,,,,0,姜京佐 偶像练习生,姜京佐 idol producer
idol_producer_037,姜祎,,,,,,,,,0,姜祎 偶像练习生,姜祎 idol producer
idol_producer_038,姜达赫,,,,,,,,,0,姜达赫 偶像练习生,姜达赫 idol producer
idol_producer_039,娄滋博,,,,,,,,,0,娄滋博 偶像练习生,娄滋博 idol producer
idol_producer_040,孙凡杰,,,,,,,,,0,孙凡杰 偶像练习生,孙凡杰 idol producer
idol_producer_041,孙浩然,,,,,,,,,0,孙浩然 偶像练习生,孙浩然 idol producer
idol_producer_042,宋睡觉,,,,,,,,,0,宋睡觉 偶像练习生,宋睡觉 idol producer
idol_producer_043,岳岳,,,,,,,,,0,岳岳 偶像练习生,岳岳 idol producer
idol_producer_044,左叶,,,,,,,,,0,左叶 偶像练习生,左叶 idol producer
idol_producer_045,应智越,,,,,,,,,0,应智越 偶像练习生,应智越 idol producer
idol_producer_046,张奕轩,,,,,,,,,0,张奕轩 偶像练习生,张奕轩 idol producer
idol_producer_047,张宇晨,,,,,,,,,0,张宇晨 偶像练习生,张宇晨 idol producer
idol_producer_048,张昕,,,,,,,,,0,张昕 偶像练习生,张昕 idol producer
idol_producer_049,张晏恺,,,,,,,,,0,张晏恺 偶像练习生,张晏恺 idol producer
idol_producer_050,张津铭,,,,,,,,,0,张津铭 偶像练习生,张津铭 idol producer
idol_producer_051,张艺凡,,,,,,,,,0,张艺凡 偶像练习生,张艺凡 idol producer
idol_producer_052,张达源,,,,,,,,,0,张达源 偶像练习生,张达源 idol producer
idol_producer_053,徐鹤尼,,,,,,,,,0,徐鹤尼 偶像练习生,徐鹤尼 idol producer
idol_producer_054,明鹏,,,,,,,,,0,明鹏 偶像练习生,明鹏 idol producer
idol_producer_055,木子洋,,,,,,,,,0,木子洋 偶像练习生,木子洋 idol producer
idol_producer_056,朱一文,,,,,,,,,0,朱一文 偶像练习生,朱一文 idol producer
idol_producer_057,朱匀一,,,,,,,,,0,朱匀一 偶像练习生,朱匀一 idol producer
idol_producer_058,朱匀天,,,,,,,,,0,朱匀天 偶像练习生,朱匀天 idol producer
idol_producer_059,李俊毅,,,,,,,,,0,李俊毅 偶像练习生,李俊毅 idol producer
idol_producer_060,李志杰,,,,,,,,,0,李志杰 偶像练习生,李志杰 idol producer
idol_producer_061,李权哲,,,,,,,,,0,李权哲 偶像练习生,李权哲 idol producer
idol_producer_062,李若天,,,,,,,,,0,李若天 偶像练习生,李若天 idol producer
idol_producer_063,李让,,,,,,,,,0,李让 偶像练习生,李让 idol producer
idol_producer_064,李鑫岩,,,,,,,,,0,李鑫岩 偶像练习生,李鑫岩 idol producer
idol_producer_065,李长庚,,,,,,,,,0,李长庚 偶像练习生,李长庚 idol producer
idol_producer_066,杨羿,,,,,,,,,0,杨羿 偶像练习生,杨羿 idol producer
idol_producer_067,杨非同,,,,,,,,,0,杨非同 偶像练习生,杨非同 idol producer
idol_producer_068,林浩楷,,,,,,,,,0,林浩楷 偶像练习生,林浩楷 idol producer
idol_producer_069,梁辉,,,,,,,,,0,梁辉 偶像练习生,梁辉 idol producer
idol_producer_070,武连杰,,,,,,,,,0,武连杰 偶像练习生,武连杰 idol producer
idol_producer_071,王宥辰,,,,,,,,,0,王宥辰 偶像练习生,王宥辰 idol producer
idol_producer_072,王梓豪,,,,,,,,,0,王梓豪 偶像练习生,王梓豪 idol producer
idol_producer_073,王艺龙,,,,,,,,,0,王艺龙 偶像练习生,王艺龙 idol producer
idol_producer_074,甘俊,,,,,,,,,0,甘俊 偶像练习生,甘俊 idol producer
idol_producer_075,秦子墨,,,,,,,,,0,秦子墨 偶像练习生,秦子墨 idol producer
idol_producer_076,罗仁麒,,,,,,,,,0,罗仁麒 偶像练习生,罗仁麒 idol producer
idol_producer_077,罗杰,,,,,,,,,0,罗杰 偶像练习生,罗杰 idol producer
idol_producer_078,罗正,,,,,,,,,0,罗正 偶像练习生,罗正 idol producer
idol_producer_079,胡致邦,,,,,,,,,0,胡致邦 偶像练习生,胡致邦 idol producer
idol_producer_080,董岩磊,,,,,,,,,0,董岩磊 偶像练习生,董岩磊 idol producer
idol_producer_081,覃俊毅,,,,,,,,,0,覃俊毅 偶像练习生,覃俊毅 idol producer
idol_producer_082,许凯皓,,,,,,,,,0,许凯皓 偶像练习生,许凯皓 idol producer
idol_producer_083,贝汯璘,,,,,,,,,0,贝汯璘 偶像练习生,贝汯璘 idol producer
idol_producer_084,赵俞澈,,,,,,,,,0,赵俞澈 偶像练习生,赵俞澈 idol producer
idol_producer_085,赵凌峰,,,,,,,,,0,赵凌峰 偶像练习生,赵凌峰 idol producer
idol_producer_086,邓烺怡,,,,,,,,,0,邓烺怡 偶像练习生,邓烺怡 idol producer
