trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
idol_producer_001,蔡徐坤,1.0,1,68,112,691,768,html:初评级阶段:蔡徐坤 偶像练习生:200:3 | html:主题曲考核阶段:蔡徐坤 偶像练习生:200:7 | html:位置测评阶段:蔡徐坤 偶像练习生:200:3 | html:排名发布阶段:蔡徐坤 偶像练习生:200:19 | html:合作舞台阶段:蔡徐坤 偶像练习生:200:22 | html:总决赛阶段:蔡徐坤 偶像练习生:200:19,1,6,6
idol_producer_002,陈立农,2.0,1,80,567,1834,2368,html:初评级阶段:陈立农 偶像练习生:200:12 | html:主题曲考核阶段:陈立农 偶像练习生:200:3 | html:位置测评阶段:陈立农 偶像练习生:200:8 | html:排名发布阶段:陈立农 偶像练习生:200:28 | html:合作舞台阶段:陈立农 偶像练习生:200:25 | html:总决赛阶段:陈立农 偶像练习生:200:19,1,6,6
idol_producer_003,范丞丞,3.0,1,67,522,1611,2518,html:初评级阶段:范丞丞 偶像练习生:200:8 | html:主题曲考核阶段:范丞丞 偶像练习生:200:9 | html:位置测评阶段:范丞丞 偶像练习生:200:7 | html:排名发布阶段:范丞丞 偶像练习生:200:24 | html:合作舞台阶段:范丞丞 偶像练习生:200:18 | html:总决赛阶段:范丞丞 偶像练习生:200:16,1,6,6
idol_producer_004,黄明昊,4.0,1,64,2246,1749,7075,html:初评级阶段:黄明昊 偶像练习生:200:4 | html:主题曲考核阶段:黄明昊 偶像练习生:200:10 | html:位置测评阶段:黄明昊 偶像练习生:200:13 | html:排名发布阶段:黄明昊 偶像练习生:200:15 | html:合作舞台阶段:黄明昊 偶像练习生:200:22 | html:总决赛阶段:黄明昊 偶像练习生:200:15,1,6,6
idol_producer_005,林彦俊,5.0,1,68,426,1281,2040,html:初评级阶段:林彦俊 偶像练习生:200:15 | html:主题曲考核阶段:林彦俊 偶像练习生:200:5 | html:位置测评阶段:林彦俊 偶像练习生:200:11 | html:排名发布阶段:林彦俊 偶像练习生:200:15 | html:合作舞台阶段:林彦俊 偶像练习生:200:26 | html:总决赛阶段:林彦俊 偶像练习生:200:21,1,6,6
idol_producer_006,朱正廷,6.0,1,61,347,1212,1892,html:初评级阶段:朱正廷 偶像练习生:200:15 | html:主题曲考核阶段:朱正廷 偶像练习生:200:15 | html:位置测评阶段:朱正廷 偶像练习生:200:15 | html:排名发布阶段:朱正廷 偶像练习生:200:26 | html:合作舞台阶段:朱正廷 偶像练习生:200:19 | html:总决赛阶段:朱正廷 偶像练习生:200:16,1,6,6
idol_producer_007,王子异,7.0,1,68,12989,5668,10779,html:初评级阶段:王子异 偶像练习生:200:10 | html:主题曲考核阶段:王子异 偶像练习生:200:13 | html:位置测评阶段:王子异 偶像练习生:200:11 | html:排名发布阶段:王子异 偶像练习生:200:16 | html:合作舞台阶段:王子异 偶像练习生:200:27 | html:总决赛阶段:王子异 偶像练习生:200:16,1,6,6
idol_producer_008,小鬼,8.0,1,74,414,1392,2288,html:初评级阶段:小鬼 偶像练习生:200:3 | html:主题曲考核阶段:小鬼 偶像练习生:200:15 | html:位置测评阶段:小鬼 偶像练习生:200:15 | html:排名发布阶段:小鬼 偶像练习生:200:28 | html:合作舞台阶段:小鬼 偶像练习生:200:19 | html:总决赛阶段:小鬼 偶像练习生:200:19,1,6,6
idol_producer_009,尤长靖,9.0,1,50,190,494,1568,html:初评级阶段:尤长靖 偶像练习生:200:3 | html:主题曲考核阶段:尤长靖 偶像练习生:200:15 | html:位置测评阶段:尤长靖 偶像练习生:200:7 | html:排名发布阶段:尤长靖 偶像练习生:200:9 | html:合作舞台阶段:尤长靖 偶像练习生:200:14 | html:总决赛阶段:尤长靖 偶像练习生:200:22,1,6,6
idol_producer_010,毕雯珺,10.0,0,63,2017,2215,6553,html:初评级阶段:毕雯珺 偶像练习生:200:7 | html:主题曲考核阶段:毕雯珺 偶像练习生:200:7 | html:位置测评阶段:毕雯珺 偶像练习生:200:7 | html:排名发布阶段:毕雯珺 偶像练习生:200:22 | html:合作舞台阶段:毕雯珺 偶像练习生:200:16 | html:总决赛阶段:毕雯珺 偶像练习生:200:19,1,6,6
idol_producer_011,钱正昊,11.0,0,67,838,806,1770,html:初评级阶段:钱正昊 偶像练习生:200:9 | html:主题曲考核阶段:钱正昊 偶像练习生:200:11 | html:位置测评阶段:钱正昊 偶像练习生:200:7 | html:排名发布阶段:钱正昊 偶像练习生:200:23 | html:合作舞台阶段:钱正昊 偶像练习生:200:17 | html:总决赛阶段:钱正昊 偶像练习生:200:20,1,6,6
idol_producer_012,卜凡,12.0,0,47,12505,3859,8687,html:初评级阶段:卜凡 偶像练习生:200:15 | html:主题曲考核阶段:卜凡 偶像练习生:200:7 | html:位置测评阶段:卜凡 偶像练习生:200:15 | html:排名发布阶段:卜凡 偶像练习生:200:22 | html:合作舞台阶段:卜凡 偶像练习生:200:14 | html:总决赛阶段:卜凡 偶像练习生:200:9,1,6,6
idol_producer_013,李希侃,13.0,0,56,585,624,1797,html:初评级阶段:李希侃 偶像练习生:200:15 | html:主题曲考核阶段:李希侃 偶像练习生:200:13 | html:位置测评阶段:李希侃 偶像练习生:200:7 | html:排名发布阶段:李希侃 偶像练习生:200:25 | html:合作舞台阶段:李希侃 偶像练习生:200:13 | html:总决赛阶段:李希侃 偶像练习生:200:13,1,6,6
idol_producer_014,朱星杰,14.0,0,58,2528,1641,3969,html:初评级阶段:朱星杰 偶像练习生:200:8 | html:主题曲考核阶段:朱星杰 偶像练习生:200:11 | html:位置测评阶段:朱星杰 偶像练习生:200:15 | html:排名发布阶段:朱星杰 偶像练习生:200:13 | html:合作舞台阶段:朱星杰 偶像练习生:200:20 | html:总决赛阶段:朱星杰 偶像练习生:200:21,1,6,6
idol_producer_015,灵超,15.0,0,65,417,374,1729,html:初评级阶段:灵超 偶像练习生:200:11 | html:主题曲考核阶段:灵超 偶像练习生:200:11 | html:位置测评阶段:灵超 偶像练习生:200:11 | html:排名发布阶段:灵超 偶像练习生:200:23 | html:合作舞台阶段:灵超 偶像练习生:200:22 | html:总决赛阶段:灵超 偶像练习生:200:17,1,6,6
idol_producer_016,郑锐彬,16.0,0,64,341,168,733,html:初评级阶段:郑锐彬 偶像练习生:200:9 | html:主题曲考核阶段:郑锐彬 偶像练习生:200:7 | html:位置测评阶段:郑锐彬 偶像练习生:200:11 | html:排名发布阶段:郑锐彬 偶像练习生:200:23 | html:合作舞台阶段:郑锐彬 偶像练习生:200:16 | html:总决赛阶段:郑锐彬 偶像练习生:200:18,1,6,6
idol_producer_017,董又霖,17.0,0,57,1000,1796,7166,html:初评级阶段:董又霖 偶像练习生:200:11 | html:主题曲考核阶段:董又霖 偶像练习生:200:6 | html:位置测评阶段:董又霖 偶像练习生:200:7 | html:排名发布阶段:董又霖 偶像练习生:200:17 | html:合作舞台阶段:董又霖 偶像练习生:200:15 | html:总决赛阶段:董又霖 偶像练习生:200:16,1,6,6
idol_producer_018,秦奋,18.0,0,55,5179,3400,7706,html:初评级阶段:秦奋 偶像练习生:200:13 | html:主题曲考核阶段:秦奋 偶像练习生:200:7 | html:位置测评阶段:秦奋 偶像练习生:200:12 | html:排名发布阶段:秦奋 偶像练习生:200:19 | html:合作舞台阶段:秦奋 偶像练习生:200:18 | html:总决赛阶段:秦奋 偶像练习生:200:11,1,6,6
idol_producer_019,林超泽,19.0,0,64,372,2476,5873,html:初评级阶段:林超泽 偶像练习生:200:7 | html:主题曲考核阶段:林超泽 偶像练习生:200:7 | html:位置测评阶段:林超泽 偶像练习生:200:5 | html:排名发布阶段:林超泽 偶像练习生:200:22 | html:合作舞台阶段:林超泽 偶像练习生:200:20 | html:总决赛阶段:林超泽 偶像练习生:200:13,1,6,6
idol_producer_020,徐圣恩,20.0,0,76,728,1581,4985,html:初评级阶段:徐圣恩 偶像练习生:200:11 | html:主题曲考核阶段:徐圣恩 偶像练习生:200:12 | html:位置测评阶段:徐圣恩 偶像练习生:200:9 | html:排名发布阶段:徐圣恩 偶像练习生:200:19 | html:合作舞台阶段:徐圣恩 偶像练习生:200:23 | html:总决赛阶段:徐圣恩 偶像练习生:200:27,1,6,6
idol_producer_021,丁泽仁,,0,54,46,205,780,html:初评级阶段:丁泽仁 偶像练习生:200:11 | html:主题曲考核阶段:丁泽仁 偶像练习生:200:8 | html:位置测评阶段:丁泽仁 偶像练习生:200:11 | html:排名发布阶段:丁泽仁 偶像练习生:200:20 | html:合作舞台阶段:丁泽仁 偶像练习生:200:15 | html:总决赛阶段:丁泽仁 偶像练习生:200:14,1,6,6
idol_producer_022,万宇贤,,0,9,364,1887,1476,html:初评级阶段:万宇贤 偶像练习生:200:11 | html:主题曲考核阶段:万宇贤 偶像练习生:200:11 | html:位置测评阶段:万宇贤 偶像练习生:200:11 | html:排名发布阶段:万宇贤 偶像练习生:200:12 | html:合作舞台阶段:万宇贤 偶像练习生:200:11 | html:总决赛阶段:万宇贤 偶像练习生:200:13,1,6,6
idol_producer_023,于斌,,0,10,220,1599,1066,html:初评级阶段:于斌 偶像练习生:200:15 | html:主题曲考核阶段:于斌 偶像练习生:200:15 | html:位置测评阶段:于斌 偶像练习生:200:11 | html:排名发布阶段:于斌 偶像练习生:200:9 | html:合作舞台阶段:于斌 偶像练习生:200:9 | html:总决赛阶段:于斌 偶像练习生:200:11,1,6,6
idol_producer_024,于浩,,0,53,743,3161,6130,html:初评级阶段:于浩 偶像练习生:200:8 | html:主题曲考核阶段:于浩 偶像练习生:200:10 | html:位置测评阶段:于浩 偶像练习生:200:11 | html:排名发布阶段:于浩 偶像练习生:200:11 | html:合作舞台阶段:于浩 偶像练习生:200:25 | html:总决赛阶段:于浩 偶像练习生:200:18,1,6,6
idol_producer_025,伽里,,0,50,67,208,621,html:初评级阶段:伽里 偶像练习生:200:7 | html:主题曲考核阶段:伽里 偶像练习生:200:15 | html:位置测评阶段:伽里 偶像练习生:200:4 | html:排名发布阶段:伽里 偶像练习生:200:13 | html:合作舞台阶段:伽里 偶像练习生:200:15 | html:总决赛阶段:伽里 偶像练习生:200:16,1,6,6
idol_producer_026,何东东,,0,77,8776,4927,12926,html:初评级阶段:何东东 偶像练习生:200:3 | html:主题曲考核阶段:何东东 偶像练习生:200:12 | html:位置测评阶段:何东东 偶像练习生:200:6 | html:排名发布阶段:何东东 偶像练习生:200:22 | html:合作舞台阶段:何东东 偶像练习生:200:21 | html:总决赛阶段:何东东 偶像练习生:200:23,1,6,6
idol_producer_027,何嘉庚,,0,17,677,3014,4602,html:初评级阶段:何嘉庚 偶像练习生:200:15 | html:主题曲考核阶段:何嘉庚 偶像练习生:200:11 | html:位置测评阶段:何嘉庚 偶像练习生:200:5 | html:排名发布阶段:何嘉庚 偶像练习生:200:11 | html:合作舞台阶段:何嘉庚 偶像练习生:200:12 | html:总决赛阶段:何嘉庚 偶像练习生:200:18,1,6,6
idol_producer_028,余明君,,0,83,6252,5749,11854,html:初评级阶段:余明君 偶像练习生:200:12 | html:主题曲考核阶段:余明君 偶像练习生:200:15 | html:位置测评阶段:余明君 偶像练习生:200:11 | html:排名发布阶段:余明君 偶像练习生:200:25 | html:合作舞台阶段:余明君 偶像练习生:200:25 | html:总决赛阶段:余明君 偶像练习生:200:15,1,6,6
idol_producer_029,侯浩然,,0,18,3567,11403,14966,html:初评级阶段:侯浩然 偶像练习生:200:9 | html:主题曲考核阶段:侯浩然 偶像练习生:200:11 | html:位置测评阶段:侯浩然 偶像练习生:200:13 | html:排名发布阶段:侯浩然 偶像练习生:200:15 | html:合作舞台阶段:侯浩然 偶像练习生:200:13 | html:总决赛阶段:侯浩然 偶像练习生:200:12,1,6,6
idol_producer_030,凌崎,,0,84,3148,4005,6767,html:初评级阶段:凌崎 偶像练习生:200:15 | html:主题曲考核阶段:凌崎 偶像练习生:200:14 | html:位置测评阶段:凌崎 偶像练习生:200:10 | html:排名发布阶段:凌崎 偶像练习生:200:16 | html:合作舞台阶段:凌崎 偶像练习生:200:16 | html:总决赛阶段:凌崎 偶像练习生:200:23,1,6,6
