trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
idol_producer_001,蔡徐坤,2018-01-26,3,1,6,34
idol_producer_001,蔡徐坤,2018-02-02,2,58,580,411
idol_producer_001,蔡徐坤,2018-02-16,3,0,6,8
idol_producer_001,蔡徐坤,2018-03-02,19,1,2,6
idol_producer_001,蔡徐坤,2018-03-23,22,40,8,6
idol_producer_001,蔡徐坤,2018-04-06,19,12,89,303
idol_producer_002,陈立农,2018-01-26,2,11,9,44
idol_producer_002,陈立农,2018-02-02,3,58,580,417
idol_producer_002,陈立农,2018-02-16,3,3,3,59
idol_producer_002,陈立农,2018-03-02,28,2,5,32
idol_producer_002,陈立农,2018-03-23,25,151,42,86
idol_producer_002,陈立农,2018-04-06,19,342,1195,1730
idol_producer_003,范丞丞,2018-01-26,3,109,43,172
idol_producer_003,范丞丞,2018-02-02,4,64,51,420
idol_producer_003,范丞丞,2018-02-16,2,1,4,31
idol_producer_003,范丞丞,2018-03-02,24,0,5,28
idol_producer_003,范丞丞,2018-03-23,18,6,318,159
idol_producer_003,范丞丞,2018-04-06,16,342,1190,1708
idol_producer_004,黄明昊,2018-01-26,4,320,12,520
idol_producer_004,黄明昊,2018-02-02,5,1530,666,4682
idol_producer_004,黄明昊,2018-02-16,3,1,4,136
idol_producer_004,黄明昊,2018-03-02,15,57,24,242
idol_producer_004,黄明昊,2018-03-23,22,5,3,62
idol_producer_004,黄明昊,2018-04-06,15,333,1040,1433
idol_producer_005,林彦俊,2018-02-02,5,45,6,59
idol_producer_005,林彦俊,2018-02-16,1,2,32,106
idol_producer_005,林彦俊,2018-03-02,15,30,23,71
idol_producer_005,林彦俊,2018-03-23,26,2,9,5
idol_producer_005,林彦俊,2018-04-06,21,347,1211,1799
idol_producer_006,朱正廷,2018-03-02,26,5,16,162
idol_producer_006,朱正廷,2018-03-23,19,0,6,27
idol_producer_006,朱正廷,2018-04-06,16,342,1190,1703
idol_producer_007,王子异,2018-01-26,5,283,356,1063
idol_producer_007,王子异,2018-02-02,3,244,681,810
idol_producer_007,王子异,2018-02-16,1,2,32,106
idol_producer_007,王子异,2018-03-02,16,12110,3486,7303
idol_producer_007,王子异,2018-03-23,27,18,2,6
idol_producer_007,王子异,2018-04-06,16,332,1111,1491
idol_producer_008,小鬼,2018-01-26,3,0,3,14
idol_producer_008,小鬼,2018-02-02,5,14,26,134
idol_producer_008,小鬼,2018-03-02,28,6,163,350
idol_producer_008,小鬼,2018-03-23,19,3,4,21
idol_producer_008,小鬼,2018-04-06,19,391,1196,1769
idol_producer_009,尤长靖,2018-01-26,3,0,1,8
idol_producer_009,尤长靖,2018-02-16,2,3,76,135
idol_producer_009,尤长靖,2018-03-02,9,18,39,166
idol_producer_009,尤长靖,2018-03-23,14,1,6,20
idol_producer_009,尤长靖,2018-04-06,22,168,372,1239
idol_producer_010,毕雯珺,2018-01-26,7,1856,1536,5320
idol_producer_010,毕雯珺,2018-02-02,2,8,18,30
idol_producer_010,毕雯珺,2018-02-16,2,2,32,165
idol_producer_010,毕雯珺,2018-03-02,22,10,130,380
idol_producer_010,毕雯珺,2018-03-23,11,116,49,272
idol_producer_010,毕雯珺,2018-04-06,19,25,450,386
idol_producer_011,钱正昊,2018-01-26,4,781,560,911
idol_producer_011,钱正昊,2018-02-02,1,34,122,213
idol_producer_011,钱正昊,2018-02-16,2,2,38,113
idol_producer_011,钱正昊,2018-03-02,23,18,82,416
idol_producer_011,钱正昊,2018-03-23,17,2,2,70
idol_producer_011,钱正昊,2018-04-06,20,1,2,47
idol_producer_012,卜凡,2018-02-02,2,32,26,125
idol_producer_012,卜凡,2018-03-02,22,12076,3562,7210
idol_producer_012,卜凡,2018-03-23,14,396,267,1329
idol_producer_012,卜凡,2018-04-06,9,1,4,23
idol_producer_013,李希侃,2018-02-02,3,578,506,1294
idol_producer_013,李希侃,2018-02-16,2,3,32,118
idol_producer_013,李希侃,2018-03-02,25,1,57,135
idol_producer_013,李希侃,2018-03-23,13,1,11,55
idol_producer_013,李希侃,2018-04-06,13,2,18,195
idol_producer_014,朱星杰,2018-01-26,3,102,117,295
idol_producer_014,朱星杰,2018-02-02,1,6,13,54
idol_producer_014,朱星杰,2018-03-02,13,3,99,70
idol_producer_014,朱星杰,2018-03-23,20,5,47,138
idol_producer_014,朱星杰,2018-04-06,21,2412,1365,3412
idol_producer_015,灵超,2018-01-26,1,0,0,7
idol_producer_015,灵超,2018-02-02,1,0,0,0
idol_producer_015,灵超,2018-02-16,1,2,32,106
idol_producer_015,灵超,2018-03-02,23,5,36,174
idol_producer_015,灵超,2018-03-23,22,409,261,1329
idol_producer_015,灵超,2018-04-06,17,1,45,113
idol_producer_016,郑锐彬,2018-01-26,4,145,57,241
idol_producer_016,郑锐彬,2018-02-02,2,188,40,190
idol_producer_016,郑锐彬,2018-02-16,1,2,32,106
idol_producer_016,郑锐彬,2018-03-02,23,3,5,36
idol_producer_016,郑锐彬,2018-03-23,16,3,7,50
idol_producer_016,郑锐彬,2018-04-06,18,0,27,110
idol_producer_017,董又霖,2018-01-26,1,0,0,0
idol_producer_017,董又霖,2018-02-02,6,17,13,61
idol_producer_017,董又霖,2018-02-16,2,735,1379,5626
idol_producer_017,董又霖,2018-03-02,17,126,116,311
idol_producer_017,董又霖,2018-03-23,15,120,281,1112
idol_producer_017,董又霖,2018-04-06,16,2,7,56
idol_producer_018,秦奋,2018-01-26,3,2195,656,1965
idol_producer_018,秦奋,2018-02-02,2,2600,1611,1416
idol_producer_018,秦奋,2018-02-16,2,381,1071,4114
idol_producer_018,秦奋,2018-03-02,19,2,32,136
idol_producer_018,秦奋,2018-03-23,18,0,13,17
idol_producer_018,秦奋,2018-04-06,11,1,17,58
idol_producer_019,林超泽,2018-01-26,2,4,2,2
idol_producer_019,林超泽,2018-02-02,2,61,594,446
idol_producer_019,林超泽,2018-02-16,5,289,1691,4946
idol_producer_019,林超泽,2018-03-02,22,11,133,191
idol_producer_019,林超泽,2018-03-23,20,5,28,97
idol_producer_019,林超泽,2018-04-06,13,2,28,191
idol_producer_020,徐圣恩,2018-01-25,1,0,0,0
idol_producer_020,徐圣恩,2018-02-01,2,1,5,33
idol_producer_020,徐圣恩,2018-02-16,4,68,101,331
idol_producer_020,徐圣恩,2018-03-02,19,32,217,457
idol_producer_020,徐圣恩,2018-03-23,23,627,1258,4164
idol_producer_020,徐圣恩,2018-04-06,27,0,0,0
idol_producer_021,丁泽仁,2018-01-26,1,0,0,1
idol_producer_021,丁泽仁,2018-02-02,3,14,31,97
idol_producer_021,丁泽仁,2018-02-16,1,2,32,106
idol_producer_021,丁泽仁,2018-03-02,20,22,102,354
idol_producer_021,丁泽仁,2018-03-23,15,1,18,66
idol_producer_021,丁泽仁,2018-04-06,14,7,22,156
idol_producer_022,万宇贤,2018-01-26,1,0,0,0
idol_producer_022,万宇贤,2018-02-02,1,6,13,54
idol_producer_022,万宇贤,2018-02-16,1,220,1591,1046
idol_producer_022,万宇贤,2018-03-02,2,0,0,0
idol_producer_022,万宇贤,2018-03-19,1,28,61,95
idol_producer_022,万宇贤,2018-04-06,3,110,222,281
idol_producer_023,于斌,2018-02-16,1,220,1591,1046
idol_producer_023,于斌,2018-02-27,1,0,3,11
idol_producer_023,于斌,2018-03-01,3,0,2,0
idol_producer_023,于斌,2018-03-08,1,0,0,0
idol_producer_023,于斌,2018-03-11,1,0,0,1
idol_producer_023,于斌,2018-03-14,1,0,2,5
idol_producer_023,于斌,2018-03-18,1,0,1,1
idol_producer_023,于斌,2018-03-24,1,0,0,2
idol_producer_024,于浩,2018-01-23,1,0,17,32
idol_producer_024,于浩,2018-01-24,2,1,1,1
idol_producer_024,于浩,2018-01-27,1,138,1087,1443
idol_producer_024,于浩,2018-01-29,2,2,10,25
idol_producer_024,于浩,2018-01-30,2,0,0,2
idol_producer_024,于浩,2018-02-08,1,0,0,1
idol_producer_024,于浩,2018-02-09,1,0,15,39
idol_producer_024,于浩,2018-02-10,2,0,0,1
idol_producer_024,于浩,2018-02-16,2,220,1591,1048
idol_producer_024,于浩,2018-02-22,1,0,0,0
idol_producer_024,于浩,2018-03-08,3,0,2,16
idol_producer_024,于浩,2018-03-09,2,0,0,3
idol_producer_024,于浩,2018-03-10,1,0,0,1
idol_producer_024,于浩,2018-03-11,1,0,0,0
idol_producer_024,于浩,2018-03-12,12,381,417,3457
idol_producer_024,于浩,2018-03-13,1,0,0,6
idol_producer_024,于浩,2018-03-14,2,0,1,3
idol_producer_024,于浩,2018-03-15,1,0,1,1
idol_producer_024,于浩,2018-03-16,1,0,3,2
idol_producer_024,于浩,2018-03-18,1,0,0,0
idol_producer_024,于浩,2018-03-25,2,1,1,1
idol_producer_024,于浩,2018-03-28,5,0,0,0
idol_producer_024,于浩,2018-04-04,2,0,8,44
idol_producer_024,于浩,2018-04-05,1,0,7,4
idol_producer_024,于浩,2018-04-06,3,0,0,0
idol_producer_025,伽里,2018-01-25,2,0,0,0
