trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
idol_producer_001,蔡徐坤,1,初评级阶段,3,1,6,34,47
idol_producer_001,蔡徐坤,2,主题曲考核阶段,2,58,580,411,1629
idol_producer_001,蔡徐坤,3,位置测评阶段,3,0,6,8,20
idol_producer_001,蔡徐坤,5,排名发布阶段,19,1,2,6,11
idol_producer_001,蔡徐坤,7,合作舞台阶段,22,40,8,6,62
idol_producer_001,蔡徐坤,11,总决赛阶段,19,12,89,303,493
idol_producer_002,陈立农,1,初评级阶段,2,11,9,44,73
idol_producer_002,陈立农,2,主题曲考核阶段,3,58,580,417,1635
idol_producer_002,陈立农,3,位置测评阶段,3,3,3,59,68
idol_producer_002,陈立农,5,排名发布阶段,28,2,5,32,44
idol_producer_002,陈立农,7,合作舞台阶段,25,151,42,86,321
idol_producer_002,陈立农,11,总决赛阶段,19,342,1195,1730,4462
idol_producer_003,范丞丞,1,初评级阶段,3,109,43,172,367
idol_producer_003,范丞丞,2,主题曲考核阶段,4,64,51,420,586
idol_producer_003,范丞丞,3,位置测评阶段,2,1,4,31,40
idol_producer_003,范丞丞,5,排名发布阶段,24,0,5,28,38
idol_producer_003,范丞丞,7,合作舞台阶段,18,6,318,159,801
idol_producer_003,范丞丞,11,总决赛阶段,16,342,1190,1708,4430
idol_producer_004,黄明昊,1,初评级阶段,4,320,12,520,864
idol_producer_004,黄明昊,2,主题曲考核阶段,5,1530,666,4682,7544
idol_producer_004,黄明昊,3,位置测评阶段,3,1,4,136,145
idol_producer_004,黄明昊,5,排名发布阶段,15,57,24,242,347
idol_producer_004,黄明昊,7,合作舞台阶段,22,5,3,62,73
idol_producer_004,黄明昊,11,总决赛阶段,15,333,1040,1433,3846
idol_producer_005,林彦俊,2,主题曲考核阶段,5,45,6,59,116
idol_producer_005,林彦俊,3,位置测评阶段,1,2,32,106,172
idol_producer_005,林彦俊,5,排名发布阶段,15,30,23,71,147
idol_producer_005,林彦俊,7,合作舞台阶段,26,2,9,5,25
idol_producer_005,林彦俊,11,总决赛阶段,21,347,1211,1799,4568
idol_producer_006,朱正廷,5,排名发布阶段,26,5,16,162,199
idol_producer_006,朱正廷,7,合作舞台阶段,19,0,6,27,39
idol_producer_006,朱正廷,11,总决赛阶段,16,342,1190,1703,4425
idol_producer_007,王子异,1,初评级阶段,5,283,356,1063,2058
idol_producer_007,王子异,2,主题曲考核阶段,3,244,681,810,2416
idol_producer_007,王子异,3,位置测评阶段,1,2,32,106,172
idol_producer_007,王子异,5,排名发布阶段,16,12110,3486,7303,26385
idol_producer_007,王子异,7,合作舞台阶段,27,18,2,6,28
idol_producer_007,王子异,11,总决赛阶段,16,332,1111,1491,4045
idol_producer_008,小鬼,1,初评级阶段,3,0,3,14,20
idol_producer_008,小鬼,2,主题曲考核阶段,5,14,26,134,200
idol_producer_008,小鬼,5,排名发布阶段,28,6,163,350,682
idol_producer_008,小鬼,7,合作舞台阶段,19,3,4,21,32
idol_producer_008,小鬼,11,总决赛阶段,19,391,1196,1769,4552
idol_producer_009,尤长靖,1,初评级阶段,3,0,1,8,10
idol_producer_009,尤长靖,3,位置测评阶段,2,3,76,135,290
idol_producer_009,尤长靖,5,排名发布阶段,9,18,39,166,262
idol_producer_009,尤长靖,7,合作舞台阶段,14,1,6,20,33
idol_producer_009,尤长靖,11,总决赛阶段,22,168,372,1239,2151
idol_producer_010,毕雯珺,1,初评级阶段,7,1856,1536,5320,10248
idol_producer_010,毕雯珺,2,主题曲考核阶段,2,8,18,30,74
idol_producer_010,毕雯珺,3,位置测评阶段,2,2,32,165,231
idol_producer_010,毕雯珺,5,排名发布阶段,22,10,130,380,650
idol_producer_010,毕雯珺,7,合作舞台阶段,11,116,49,272,486
idol_producer_010,毕雯珺,11,总决赛阶段,19,25,450,386,1311
