trainee_id,trainee_name,query_attempts,query_success,window_success_count,window_count
idol_producer_001,蔡徐坤,html:初评级阶段:蔡徐坤 偶像练习生:200:3 | html:主题曲考核阶段:蔡徐坤 偶像练习生:200:7 | html:位置测评阶段:蔡徐坤 偶像练习生:200:3 | html:排名发布阶段:蔡徐坤 偶像练习生:200:19 | html:合作舞台阶段:蔡徐坤 偶像练习生:200:22 | html:总决赛阶段:蔡徐坤 偶像练习生:200:19,1,6,6
idol_producer_002,陈立农,html:初评级阶段:陈立农 偶像练习生:200:12 | html:主题曲考核阶段:陈立农 偶像练习生:200:3 | html:位置测评阶段:陈立农 偶像练习生:200:8 | html:排名发布阶段:陈立农 偶像练习生:200:28 | html:合作舞台阶段:陈立农 偶像练习生:200:25 | html:总决赛阶段:陈立农 偶像练习生:200:19,1,6,6
idol_producer_003,范丞丞,html:初评级阶段:范丞丞 偶像练习生:200:8 | html:主题曲考核阶段:范丞丞 偶像练习生:200:9 | html:位置测评阶段:范丞丞 偶像练习生:200:7 | html:排名发布阶段:范丞丞 偶像练习生:200:24 | html:合作舞台阶段:范丞丞 偶像练习生:200:18 | html:总决赛阶段:范丞丞 偶像练习生:200:16,1,6,6
idol_producer_004,黄明昊,html:初评级阶段:黄明昊 偶像练习生:200:4 | html:主题曲考核阶段:黄明昊 偶像练习生:200:10 | html:位置测评阶段:黄明昊 偶像练习生:200:13 | html:排名发布阶段:黄明昊 偶像练习生:200:15 | html:合作舞台阶段:黄明昊 偶像练习生:200:22 | html:总决赛阶段:黄明昊 偶像练习生:200:15,1,6,6
idol_producer_005,林彦俊,html:初评级阶段:林彦俊 偶像练习生:200:15 | html:主题曲考核阶段:林彦俊 偶像练习生:200:5 | html:位置测评阶段:林彦俊 偶像练习生:200:11 | html:排名发布阶段:林彦俊 偶像练习生:200:15 | html:合作舞台阶段:林彦俊 偶像练习生:200:26 | html:总决赛阶段:林彦俊 偶像练习生:200:21,1,6,6
idol_producer_006,朱正廷,html:初评级阶段:朱正廷 偶像练习生:200:15 | html:主题曲考核阶段:朱正廷 偶像练习生:200:15 | html:位置测评阶段:朱正廷 偶像练习生:200:15 | html:排名发布阶段:朱正廷 偶像练习生:200:26 | html:合作舞台阶段:朱正廷 偶像练习生:200:19 | html:总决赛阶段:朱正廷 偶像练习生:200:16,1,6,6
idol_producer_007,王子异,html:初评级阶段:王子异 偶像练习生:200:10 | html:主题曲考核阶段:王子异 偶像练习生:200:13 | html:位置测评阶段:王子异 偶像练习生:200:11 | html:排名发布阶段:王子异 偶像练习生:200:16 | html:合作舞台阶段:王子异 偶像练习生:200:27 | html:总决赛阶段:王子异 偶像练习生:200:16,1,6,6
idol_producer_008,小鬼,html:初评级阶段:小鬼 偶像练习生:200:3 | html:主题曲考核阶段:小鬼 偶像练习生:200:15 | html:位置测评阶段:小鬼 偶像练习生:200:15 | html:排名发布阶段:小鬼 偶像练习生:200:28 | html:合作舞台阶段:小鬼 偶像练习生:200:19 | html:总决赛阶段:小鬼 偶像练习生:200:19,1,6,6
idol_producer_009,尤长靖,html:初评级阶段:尤长靖 偶像练习生:200:3 | html:主题曲考核阶段:尤长靖 偶像练习生:200:15 | html:位置测评阶段:尤长靖 偶像练习生:200:7 | html:排名发布阶段:尤长靖 偶像练习生:200:9 | html:合作舞台阶段:尤长靖 偶像练习生:200:14 | html:总决赛阶段:尤长靖 偶像练习生:200:22,1,6,6
idol_producer_010,毕雯珺,html:初评级阶段:毕雯珺 偶像练习生:200:7 | html:主题曲考核阶段:毕雯珺 偶像练习生:200:7 | html:位置测评阶段:毕雯珺 偶像练习生:200:7 | html:排名发布阶段:毕雯珺 偶像练习生:200:22 | html:合作舞台阶段:毕雯珺 偶像练习生:200:16 | html:总决赛阶段:毕雯珺 偶像练习生:200:19,1,6,6
idol_producer_011,钱正昊,html:初评级阶段:钱正昊 偶像练习生:200:9 | html:主题曲考核阶段:钱正昊 偶像练习生:200:11 | html:位置测评阶段:钱正昊 偶像练习生:200:7 | html:排名发布阶段:钱正昊 偶像练习生:200:23 | html:合作舞台阶段:钱正昊 偶像练习生:200:17 | html:总决赛阶段:钱正昊 偶像练习生:200:20,1,6,6
idol_producer_012,卜凡,html:初评级阶段:卜凡 偶像练习生:200:15 | html:主题曲考核阶段:卜凡 偶像练习生:200:7 | html:位置测评阶段:卜凡 偶像练习生:200:15 | html:排名发布阶段:卜凡 偶像练习生:200:22 | html:合作舞台阶段:卜凡 偶像练习生:200:14 | html:总决赛阶段:卜凡 偶像练习生:200:9,1,6,6
idol_producer_013,李希侃,html:初评级阶段:李希侃 偶像练习生:200:15 | html:主题曲考核阶段:李希侃 偶像练习生:200:13 | html:位置测评阶段:李希侃 偶像练习生:200:7 | html:排名发布阶段:李希侃 偶像练习生:200:25 | html:合作舞台阶段:李希侃 偶像练习生:200:13 | html:总决赛阶段:李希侃 偶像练习生:200:13,1,6,6
idol_producer_014,朱星杰,html:初评级阶段:朱星杰 偶像练习生:200:8 | html:主题曲考核阶段:朱星杰 偶像练习生:200:11 | html:位置测评阶段:朱星杰 偶像练习生:200:15 | html:排名发布阶段:朱星杰 偶像练习生:200:13 | html:合作舞台阶段:朱星杰 偶像练习生:200:20 | html:总决赛阶段:朱星杰 偶像练习生:200:21,1,6,6
idol_producer_015,灵超,html:初评级阶段:灵超 偶像练习生:200:11 | html:主题曲考核阶段:灵超 偶像练习生:200:11 | html:位置测评阶段:灵超 偶像练习生:200:11 | html:排名发布阶段:灵超 偶像练习生:200:23 | html:合作舞台阶段:灵超 偶像练习生:200:22 | html:总决赛阶段:灵超 偶像练习生:200:17,1,6,6
