trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_001,刘宇,1,23,3,61,217,342
chuang2021_001,刘宇,3,25,0,16,54,86
chuang2021_001,刘宇,5,26,0,34,103,171
chuang2021_001,刘宇,7,26,0,35,165,235
chuang2021_001,刘宇,9,23,0,14,35,63
chuang2021_001,刘宇,10,20,0,27,156,210
chuang2021_002,赞多,1,25,285,478,3561,4802
chuang2021_002,赞多,3,19,291,265,3326,4147
chuang2021_002,赞多,5,20,1,37,82,157
chuang2021_002,赞多,7,26,3,47,119,216
chuang2021_002,赞多,9,24,406,812,3664,5694
chuang2021_002,赞多,10,24,985,3385,42353,50108
chuang2021_003,力丸,1,19,1,48,190,287
chuang2021_003,力丸,3,23,6,10,98,124
chuang2021_003,力丸,5,25,3,99,575,776
chuang2021_003,力丸,7,23,2,4,130,140
chuang2021_003,力丸,9,20,0,0,35,35
chuang2021_003,力丸,10,17,7,167,885,1226
chuang2021_004,米卡,1,19,1,66,234,367
chuang2021_004,米卡,3,23,8,35,353,431
chuang2021_004,米卡,5,21,3,51,253,358
chuang2021_004,米卡,7,22,281,906,10752,12845
chuang2021_004,米卡,9,26,0,17,43,77
chuang2021_004,米卡,10,26,29,96,417,638
chuang2021_005,高卿尘,1,25,158,1118,13223,15617
chuang2021_005,高卿尘,3,26,13,38,88,177
chuang2021_005,高卿尘,5,25,2,32,91,157
chuang2021_005,高卿尘,7,25,35,648,9259,10590
chuang2021_005,高卿尘,9,24,520,946,11320,13732
chuang2021_005,高卿尘,10,25,480,1014,10615,13123
chuang2021_006,林墨,1,25,36,13,85,147
chuang2021_006,林墨,3,21,3,19,541,582
chuang2021_006,林墨,5,25,23,18,107,166
chuang2021_006,林墨,7,29,35,41,255,372
chuang2021_006,林墨,9,22,0,24,209,257
chuang2021_006,林墨,10,25,323,786,8388,10283
chuang2021_007,伯远,1,27,381,1194,13932,16701
chuang2021_007,伯远,3,24,0,34,144,212
chuang2021_007,伯远,5,27,1,7,48,63
chuang2021_007,伯远,7,24,35,276,611,1198
chuang2021_007,伯远,9,27,1,9,60,79
chuang2021_007,伯远,10,27,321,725,8002,9773
chuang2021_008,张嘉元,1,19,6,68,81,223
chuang2021_008,张嘉元,3,16,7,21,150,199
chuang2021_008,张嘉元,5,23,61,608,11416,12693
chuang2021_008,张嘉元,7,21,215,650,9588,11103
chuang2021_008,张嘉元,9,21,115,99,1222,1535
chuang2021_008,张嘉元,10,26,2,112,605,831
chuang2021_009,尹浩宇,1,25,0,49,224,322
chuang2021_009,尹浩宇,3,24,0,1,11,13
chuang2021_009,尹浩宇,5,22,3,21,102,147
chuang2021_009,尹浩宇,7,25,2,151,482,786
chuang2021_009,尹浩宇,9,24,1,16,163,196
chuang2021_009,尹浩宇,10,23,44,292,1211,1839
chuang2021_010,周柯宇,1,27,8,31,91,161
chuang2021_010,周柯宇,3,23,2,12,527,553
