trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
chuang2021_001,刘宇,1,1,143,3,187,730,html:初评级阶段:刘宇 创造营2021:200:23 | html:小组竞演与主题曲阶段:刘宇 创造营2021:200:25 | html:首次排名阶段:刘宇 创造营2021:200:26 | html:位置测评与第二次排名阶段:刘宇 创造营2021:200:26 | html:主题考核与第三次排名阶段:刘宇 创造营2021:200:23 | html:决赛阶段:刘宇 创造营2021:200:20,1,6,6
chuang2021_002,赞多,2,1,138,1971,5024,53105,html:初评级阶段:赞多 创造营2021:200:25 | html:小组竞演与主题曲阶段:赞多 创造营2021:200:19 | html:首次排名阶段:赞多 创造营2021:200:20 | html:位置测评与第二次排名阶段:赞多 创造营2021:200:26 | html:主题考核与第三次排名阶段:赞多 创造营2021:200:24 | html:决赛阶段:赞多 创造营2021:200:24,1,6,6
chuang2021_003,力丸,3,1,127,19,328,1913,html:初评级阶段:力丸 创造营2021:200:19 | html:小组竞演与主题曲阶段:力丸 创造营2021:200:23 | html:首次排名阶段:力丸 创造营2021:200:25 | html:位置测评与第二次排名阶段:力丸 创造营2021:200:23 | html:主题考核与第三次排名阶段:力丸 创造营2021:200:20 | html:决赛阶段:力丸 创造营2021:200:17,1,6,6
chuang2021_004,米卡,4,1,137,322,1171,12052,html:初评级阶段:米卡 创造营2021:200:19 | html:小组竞演与主题曲阶段:米卡 创造营2021:200:23 | html:首次排名阶段:米卡 创造营2021:200:21 | html:位置测评与第二次排名阶段:米卡 创造营2021:200:22 | html:主题考核与第三次排名阶段:米卡 创造营2021:200:26 | html:决赛阶段:米卡 创造营2021:200:26,1,6,6
chuang2021_005,高卿尘,5,1,150,1208,3796,44596,html:初评级阶段:高卿尘 创造营2021:200:25 | html:小组竞演与主题曲阶段:高卿尘 创造营2021:200:26 | html:首次排名阶段:高卿尘 创造营2021:200:25 | html:位置测评与第二次排名阶段:高卿尘 创造营2021:200:25 | html:主题考核与第三次排名阶段:高卿尘 创造营2021:200:24 | html:决赛阶段:高卿尘 创造营2021:200:25,1,6,6
chuang2021_006,林墨,6,1,147,420,901,9585,html:初评级阶段:林墨 创造营2021:200:25 | html:小组竞演与主题曲阶段:林墨 创造营2021:200:21 | html:首次排名阶段:林墨 创造营2021:200:25 | html:位置测评与第二次排名阶段:林墨 创造营2021:200:29 | html:主题考核与第三次排名阶段:林墨 创造营2021:200:22 | html:决赛阶段:林墨 创造营2021:200:25,1,6,6
chuang2021_007,伯远,7,1,156,739,2245,22797,html:初评级阶段:伯远 创造营2021:200:27 | html:小组竞演与主题曲阶段:伯远 创造营2021:200:24 | html:首次排名阶段:伯远 创造营2021:200:27 | html:位置测评与第二次排名阶段:伯远 创造营2021:200:24 | html:主题考核与第三次排名阶段:伯远 创造营2021:200:27 | html:决赛阶段:伯远 创造营2021:200:27,1,6,6
chuang2021_008,张嘉元,8,1,126,406,1558,23062,html:初评级阶段:张嘉元 创造营2021:200:19 | html:小组竞演与主题曲阶段:张嘉元 创造营2021:200:16 | html:首次排名阶段:张嘉元 创造营2021:200:23 | html:位置测评与第二次排名阶段:张嘉元 创造营2021:200:21 | html:主题考核与第三次排名阶段:张嘉元 创造营2021:200:21 | html:决赛阶段:张嘉元 创造营2021:200:26,1,6,6
chuang2021_009,尹浩宇,9,1,143,50,530,2193,html:初评级阶段:尹浩宇 创造营2021:200:25 | html:小组竞演与主题曲阶段:尹浩宇 创造营2021:200:24 | html:首次排名阶段:尹浩宇 创造营2021:200:22 | html:位置测评与第二次排名阶段:尹浩宇 创造营2021:200:25 | html:主题考核与第三次排名阶段:尹浩宇 创造营2021:200:24 | html:决赛阶段:尹浩宇 创造营2021:200:23,1,6,6
chuang2021_010,周柯宇,10,1,129,30,276,1925,html:初评级阶段:周柯宇 创造营2021:200:27 | html:小组竞演与主题曲阶段:周柯宇 创造营2021:200:23 | html:首次排名阶段:周柯宇 创造营2021:200:22 | html:位置测评与第二次排名阶段:周柯宇 创造营2021:200:14 | html:主题考核与第三次排名阶段:周柯宇 创造营2021:200:22 | html:决赛阶段:周柯宇 创造营2021:200:26,1,6,6
