trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
chuang2021_001,刘宇,2021-02-27,23,3,61,217
chuang2021_001,刘宇,2021-03-13,25,0,16,54
chuang2021_001,刘宇,2021-03-20,26,0,34,103
chuang2021_001,刘宇,2021-04-03,26,0,35,165
chuang2021_001,刘宇,2021-04-17,23,0,14,35
chuang2021_001,刘宇,2021-04-24,20,0,27,156
chuang2021_002,赞多,2021-02-27,25,285,478,3561
chuang2021_002,赞多,2021-03-13,19,291,265,3326
chuang2021_002,赞多,2021-03-20,20,1,37,82
chuang2021_002,赞多,2021-04-03,26,3,47,119
chuang2021_002,赞多,2021-04-17,24,406,812,3664
chuang2021_002,赞多,2021-04-24,24,985,3385,42353
chuang2021_003,力丸,2021-02-27,19,1,48,190
chuang2021_003,力丸,2021-03-13,23,6,10,98
chuang2021_003,力丸,2021-03-20,25,3,99,575
chuang2021_003,力丸,2021-04-03,23,2,4,130
chuang2021_003,力丸,2021-04-17,20,0,0,35
chuang2021_003,力丸,2021-04-24,17,7,167,885
chuang2021_004,米卡,2021-02-27,19,1,66,234
chuang2021_004,米卡,2021-03-13,23,8,35,353
chuang2021_004,米卡,2021-03-20,21,3,51,253
chuang2021_004,米卡,2021-04-03,22,281,906,10752
chuang2021_004,米卡,2021-04-17,26,0,17,43
chuang2021_004,米卡,2021-04-24,26,29,96,417
chuang2021_005,高卿尘,2021-02-27,25,158,1118,13223
chuang2021_005,高卿尘,2021-03-13,26,13,38,88
chuang2021_005,高卿尘,2021-03-20,25,2,32,91
chuang2021_005,高卿尘,2021-04-03,25,35,648,9259
chuang2021_005,高卿尘,2021-04-17,24,520,946,11320
chuang2021_005,高卿尘,2021-04-24,25,480,1014,10615
chuang2021_006,林墨,2021-02-27,25,36,13,85
chuang2021_006,林墨,2021-03-13,21,3,19,541
chuang2021_006,林墨,2021-03-20,25,23,18,107
chuang2021_006,林墨,2021-04-03,29,35,41,255
chuang2021_006,林墨,2021-04-17,22,0,24,209
chuang2021_006,林墨,2021-04-24,25,323,786,8388
chuang2021_007,伯远,2021-02-27,27,381,1194,13932
chuang2021_007,伯远,2021-03-13,24,0,34,144
chuang2021_007,伯远,2021-03-20,27,1,7,48
chuang2021_007,伯远,2021-04-03,24,35,276,611
chuang2021_007,伯远,2021-04-17,27,1,9,60
chuang2021_007,伯远,2021-04-24,27,321,725,8002
chuang2021_008,张嘉元,2021-02-27,19,6,68,81
chuang2021_008,张嘉元,2021-03-13,16,7,21,150
chuang2021_008,张嘉元,2021-03-20,23,61,608,11416
chuang2021_008,张嘉元,2021-04-03,21,215,650,9588
chuang2021_008,张嘉元,2021-04-17,21,115,99,1222
chuang2021_008,张嘉元,2021-04-24,26,2,112,605
chuang2021_009,尹浩宇,2021-02-27,25,0,49,224
chuang2021_009,尹浩宇,2021-03-13,24,0,1,11
chuang2021_009,尹浩宇,2021-03-20,22,3,21,102
chuang2021_009,尹浩宇,2021-04-03,25,2,151,482
chuang2021_009,尹浩宇,2021-04-17,24,1,16,163
chuang2021_009,尹浩宇,2021-04-24,23,44,292,1211
chuang2021_010,周柯宇,2021-02-27,27,8,31,91
chuang2021_010,周柯宇,2021-03-13,23,2,12,527
chuang2021_010,周柯宇,2021-03-20,22,0,4,25
chuang2021_010,周柯宇,2021-04-03,14,0,6,17
chuang2021_010,周柯宇,2021-04-17,17,6,40,212
chuang2021_010,周柯宇,2021-04-24,26,14,183,1053
chuang2021_011,刘彰,2021-02-27,22,717,1331,17696
chuang2021_011,刘彰,2021-03-13,21,7,32,159
chuang2021_011,刘彰,2021-03-20,24,1,14,107
chuang2021_011,刘彰,2021-04-03,23,25,315,1353
chuang2021_011,刘彰,2021-04-17,22,0,19,80
chuang2021_011,刘彰,2021-04-24,27,4843,4811,43959
chuang2021_012,庆怜,2021-02-27,21,110,502,10484
chuang2021_012,庆怜,2021-03-13,26,3,59,501
chuang2021_012,庆怜,2021-03-20,19,3,10,95
chuang2021_012,庆怜,2021-04-03,22,1,691,333
chuang2021_012,庆怜,2021-04-17,24,3,274,544
chuang2021_012,庆怜,2021-04-24,23,2,22,79
chuang2021_013,奥斯卡,2021-02-27,24,147,289,876
chuang2021_013,奥斯卡,2021-03-13,25,435,633,1609
chuang2021_013,奥斯卡,2021-03-20,20,0,26,77
chuang2021_013,奥斯卡,2021-04-03,24,28,594,9094
chuang2021_013,奥斯卡,2021-04-17,23,121761,21,104
chuang2021_013,奥斯卡,2021-04-24,24,3,105,414
chuang2021_014,甘望星,2021-02-27,24,30,56,118
chuang2021_014,甘望星,2021-03-13,23,196,216,883
chuang2021_014,甘望星,2021-03-20,20,29,241,3330
chuang2021_014,甘望星,2021-04-03,21,0,24,188
chuang2021_014,甘望星,2021-04-17,21,2,115,392
chuang2021_014,甘望星,2021-04-24,21,0,13,39
chuang2021_015,井汲大翔,2021-02-27,19,1,170,283
chuang2021_015,井汲大翔,2021-03-13,26,15,1656,937
chuang2021_015,井汲大翔,2021-03-20,22,6,38,256
chuang2021_015,井汲大翔,2021-04-03,25,2,358,275
chuang2021_015,井汲大翔,2021-04-17,25,0,110,336
chuang2021_015,井汲大翔,2021-04-24,26,48,70,717
chuang2021_016,张星特,2021-02-27,25,710,1745,16677
chuang2021_016,张星特,2021-03-13,27,2098,3550,64443
chuang2021_016,张星特,2021-03-20,23,41,418,731
chuang2021_016,张星特,2021-04-03,23,3,70,432
chuang2021_016,张星特,2021-04-17,24,445,745,8770
chuang2021_016,张星特,2021-04-24,26,3,4,43
chuang2021_017,利路修,2021-02-27,23,206,1930,18545
chuang2021_017,利路修,2021-03-13,24,1,551,265
chuang2021_017,利路修,2021-03-20,26,8,148,649
chuang2021_017,利路修,2021-04-03,24,23,657,1814
chuang2021_017,利路修,2021-04-17,20,0,0,42
chuang2021_017,利路修,2021-04-24,23,21,210,663
chuang2021_018,吴宇恒,2021-02-27,21,265,1254,13564
chuang2021_018,吴宇恒,2021-03-13,25,0,7,44
chuang2021_018,吴宇恒,2021-03-20,29,0,2,0
chuang2021_018,吴宇恒,2021-04-03,17,23,69,270
chuang2021_018,吴宇恒,2021-04-17,24,0,23,69
chuang2021_018,吴宇恒,2021-04-24,23,1,33,166
chuang2021_019,任胤蓬,2021-02-27,21,7,48,337
chuang2021_019,任胤蓬,2021-03-13,18,74,55,334
chuang2021_019,任胤蓬,2021-03-20,19,3,6,28
chuang2021_019,任胤蓬,2021-04-03,19,641,818,1482
chuang2021_019,任胤蓬,2021-04-17,21,146,226,2923
chuang2021_019,任胤蓬,2021-04-24,20,1,2,29
chuang2021_020,张欣尧,2021-02-27,24,1262,2444,22076
chuang2021_020,张欣尧,2021-03-10,1,0,3,0
chuang2021_020,张欣尧,2021-03-11,3,6,47,78
chuang2021_020,张欣尧,2021-03-12,8,0,0,0
chuang2021_020,张欣尧,2021-03-13,10,30,184,1509
chuang2021_020,张欣尧,2021-03-20,26,64,199,1507
chuang2021_020,张欣尧,2021-04-03,25,59,144,736
chuang2021_020,张欣尧,2021-04-17,25,3,43,233
chuang2021_020,张欣尧,2021-04-24,24,6,49,203
chuang2021_021,俞更寅,2021-02-27,27,66,158,644
chuang2021_021,俞更寅,2021-03-13,25,1,11,76
chuang2021_021,俞更寅,2021-03-20,23,5,30,75
chuang2021_021,俞更寅,2021-04-03,24,22,105,516
chuang2021_021,俞更寅,2021-04-17,27,4,62,448
chuang2021_021,俞更寅,2021-04-24,26,1,47,232
chuang2021_022,付思超,2021-02-26,3,0,6,5
chuang2021_022,付思超,2021-02-27,22,299,2828,29811
chuang2021_022,付思超,2021-03-13,24,30,87,1656
chuang2021_022,付思超,2021-03-20,21,845,1659,9207
chuang2021_022,付思超,2021-04-03,22,697,990,2195
