trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_001,刘宇,1,初评级阶段,23,3,61,217,342
chuang2021_001,刘宇,2,小组竞演与主题曲阶段,25,0,16,54,86
chuang2021_001,刘宇,3,首次排名阶段,26,0,34,103,171
chuang2021_001,刘宇,4,位置测评与第二次排名阶段,26,0,35,165,235
chuang2021_001,刘宇,5,主题考核与第三次排名阶段,23,0,14,35,63
chuang2021_001,刘宇,6,决赛阶段,20,0,27,156,210
chuang2021_002,赞多,1,初评级阶段,25,285,478,3561,4802
chuang2021_002,赞多,2,小组竞演与主题曲阶段,19,291,265,3326,4147
chuang2021_002,赞多,3,首次排名阶段,20,1,37,82,157
chuang2021_002,赞多,4,位置测评与第二次排名阶段,26,3,47,119,216
chuang2021_002,赞多,5,主题考核与第三次排名阶段,24,406,812,3664,5694
chuang2021_002,赞多,6,决赛阶段,24,985,3385,42353,50108
chuang2021_003,力丸,1,初评级阶段,19,1,48,190,287
chuang2021_003,力丸,2,小组竞演与主题曲阶段,23,6,10,98,124
chuang2021_003,力丸,3,首次排名阶段,25,3,99,575,776
chuang2021_003,力丸,4,位置测评与第二次排名阶段,23,2,4,130,140
chuang2021_003,力丸,5,主题考核与第三次排名阶段,20,0,0,35,35
chuang2021_003,力丸,6,决赛阶段,17,7,167,885,1226
chuang2021_004,米卡,1,初评级阶段,19,1,66,234,367
chuang2021_004,米卡,2,小组竞演与主题曲阶段,23,8,35,353,431
chuang2021_004,米卡,3,首次排名阶段,21,3,51,253,358
chuang2021_004,米卡,4,位置测评与第二次排名阶段,22,281,906,10752,12845
chuang2021_004,米卡,5,主题考核与第三次排名阶段,26,0,17,43,77
chuang2021_004,米卡,6,决赛阶段,26,29,96,417,638
chuang2021_005,高卿尘,1,初评级阶段,25,158,1118,13223,15617
chuang2021_005,高卿尘,2,小组竞演与主题曲阶段,26,13,38,88,177
chuang2021_005,高卿尘,3,首次排名阶段,25,2,32,91,157
chuang2021_005,高卿尘,4,位置测评与第二次排名阶段,25,35,648,9259,10590
chuang2021_005,高卿尘,5,主题考核与第三次排名阶段,24,520,946,11320,13732
chuang2021_005,高卿尘,6,决赛阶段,25,480,1014,10615,13123
chuang2021_006,林墨,1,初评级阶段,25,36,13,85,147
chuang2021_006,林墨,2,小组竞演与主题曲阶段,21,3,19,541,582
chuang2021_006,林墨,3,首次排名阶段,25,23,18,107,166
chuang2021_006,林墨,4,位置测评与第二次排名阶段,29,35,41,255,372
chuang2021_006,林墨,5,主题考核与第三次排名阶段,22,0,24,209,257
chuang2021_006,林墨,6,决赛阶段,25,323,786,8388,10283
chuang2021_007,伯远,1,初评级阶段,27,381,1194,13932,16701
chuang2021_007,伯远,2,小组竞演与主题曲阶段,24,0,34,144,212
chuang2021_007,伯远,3,首次排名阶段,27,1,7,48,63
chuang2021_007,伯远,4,位置测评与第二次排名阶段,24,35,276,611,1198
chuang2021_007,伯远,5,主题考核与第三次排名阶段,27,1,9,60,79
chuang2021_007,伯远,6,决赛阶段,27,321,725,8002,9773
chuang2021_008,张嘉元,1,初评级阶段,19,6,68,81,223
chuang2021_008,张嘉元,2,小组竞演与主题曲阶段,16,7,21,150,199
chuang2021_008,张嘉元,3,首次排名阶段,23,61,608,11416,12693
chuang2021_008,张嘉元,4,位置测评与第二次排名阶段,21,215,650,9588,11103
chuang2021_008,张嘉元,5,主题考核与第三次排名阶段,21,115,99,1222,1535
chuang2021_008,张嘉元,6,决赛阶段,26,2,112,605,831
chuang2021_009,尹浩宇,1,初评级阶段,25,0,49,224,322
chuang2021_009,尹浩宇,2,小组竞演与主题曲阶段,24,0,1,11,13
chuang2021_009,尹浩宇,3,首次排名阶段,22,3,21,102,147
chuang2021_009,尹浩宇,4,位置测评与第二次排名阶段,25,2,151,482,786
chuang2021_009,尹浩宇,5,主题考核与第三次排名阶段,24,1,16,163,196
chuang2021_009,尹浩宇,6,决赛阶段,23,44,292,1211,1839
chuang2021_010,周柯宇,1,初评级阶段,27,8,31,91,161
chuang2021_010,周柯宇,2,小组竞演与主题曲阶段,23,2,12,527,553
chuang2021_010,周柯宇,3,首次排名阶段,22,0,4,25,33
chuang2021_010,周柯宇,4,位置测评与第二次排名阶段,14,0,6,17,29
chuang2021_010,周柯宇,5,主题考核与第三次排名阶段,17,6,40,212,298
chuang2021_010,周柯宇,6,决赛阶段,26,14,183,1053,1433
chuang2021_011,刘彰,1,初评级阶段,22,717,1331,17696,21075
chuang2021_011,刘彰,2,小组竞演与主题曲阶段,21,7,32,159,230
chuang2021_011,刘彰,3,首次排名阶段,24,1,14,107,136
chuang2021_011,刘彰,4,位置测评与第二次排名阶段,23,25,315,1353,2008
chuang2021_011,刘彰,5,主题考核与第三次排名阶段,22,0,19,80,118
chuang2021_011,刘彰,6,决赛阶段,27,4843,4811,43959,58424
chuang2021_012,庆怜,1,初评级阶段,21,110,502,10484,11598
chuang2021_012,庆怜,2,小组竞演与主题曲阶段,26,3,59,501,622
chuang2021_012,庆怜,3,首次排名阶段,19,3,10,95,118
chuang2021_012,庆怜,4,位置测评与第二次排名阶段,22,1,691,333,1716
chuang2021_012,庆怜,5,主题考核与第三次排名阶段,24,3,274,544,1095
chuang2021_012,庆怜,6,决赛阶段,23,2,22,79,125
chuang2021_013,奥斯卡,1,初评级阶段,24,147,289,876,1601
chuang2021_013,奥斯卡,2,小组竞演与主题曲阶段,25,435,633,1609,3310
chuang2021_013,奥斯卡,3,首次排名阶段,20,0,26,77,129
chuang2021_013,奥斯卡,4,位置测评与第二次排名阶段,24,28,594,9094,10310
chuang2021_013,奥斯卡,5,主题考核与第三次排名阶段,23,121761,21,104,121907
chuang2021_013,奥斯卡,6,决赛阶段,24,3,105,414,627
chuang2021_014,甘望星,1,初评级阶段,24,30,56,118,260
chuang2021_014,甘望星,2,小组竞演与主题曲阶段,23,196,216,883,1511
chuang2021_014,甘望星,3,首次排名阶段,20,29,241,3330,3841
chuang2021_014,甘望星,4,位置测评与第二次排名阶段,21,0,24,188,236
chuang2021_014,甘望星,5,主题考核与第三次排名阶段,21,2,115,392,624
chuang2021_014,甘望星,6,决赛阶段,21,0,13,39,65
chuang2021_015,井汲大翔,1,初评级阶段,19,1,170,283,624
chuang2021_015,井汲大翔,2,小组竞演与主题曲阶段,26,15,1656,937,4264
chuang2021_015,井汲大翔,3,首次排名阶段,22,6,38,256,338
chuang2021_015,井汲大翔,4,位置测评与第二次排名阶段,25,2,358,275,993
chuang2021_015,井汲大翔,5,主题考核与第三次排名阶段,25,0,110,336,556
chuang2021_015,井汲大翔,6,决赛阶段,26,48,70,717,905
chuang2021_016,张星特,1,初评级阶段,25,710,1745,16677,20877
chuang2021_016,张星特,2,小组竞演与主题曲阶段,27,2098,3550,64443,73641
chuang2021_016,张星特,3,首次排名阶段,23,41,418,731,1608
chuang2021_016,张星特,4,位置测评与第二次排名阶段,23,3,70,432,575
chuang2021_016,张星特,5,主题考核与第三次排名阶段,24,445,745,8770,10705
chuang2021_016,张星特,6,决赛阶段,26,3,4,43,54
chuang2021_017,利路修,1,初评级阶段,23,206,1930,18545,22611
chuang2021_017,利路修,2,小组竞演与主题曲阶段,24,1,551,265,1368
chuang2021_017,利路修,3,首次排名阶段,26,8,148,649,953
chuang2021_017,利路修,4,位置测评与第二次排名阶段,24,23,657,1814,3151
chuang2021_017,利路修,5,主题考核与第三次排名阶段,20,0,0,42,42
chuang2021_017,利路修,6,决赛阶段,23,21,210,663,1104
chuang2021_018,吴宇恒,1,初评级阶段,21,265,1254,13564,16337
chuang2021_018,吴宇恒,2,小组竞演与主题曲阶段,25,0,7,44,58
chuang2021_018,吴宇恒,3,首次排名阶段,29,0,2,0,4
chuang2021_018,吴宇恒,4,位置测评与第二次排名阶段,17,23,69,270,431
chuang2021_018,吴宇恒,5,主题考核与第三次排名阶段,24,0,23,69,115
chuang2021_018,吴宇恒,6,决赛阶段,23,1,33,166,233
chuang2021_019,任胤蓬,1,初评级阶段,21,7,48,337,440
chuang2021_019,任胤蓬,2,小组竞演与主题曲阶段,18,74,55,334,518
chuang2021_019,任胤蓬,3,首次排名阶段,19,3,6,28,43
chuang2021_019,任胤蓬,4,位置测评与第二次排名阶段,19,641,818,1482,3759
chuang2021_019,任胤蓬,5,主题考核与第三次排名阶段,21,146,226,2923,3521
chuang2021_019,任胤蓬,6,决赛阶段,20,1,2,29,34
chuang2021_020,张欣尧,1,初评级阶段,24,1262,2444,22076,28226
chuang2021_020,张欣尧,2,小组竞演与主题曲阶段,22,36,234,1587,2091
chuang2021_020,张欣尧,3,首次排名阶段,26,64,199,1507,1969
chuang2021_020,张欣尧,4,位置测评与第二次排名阶段,25,59,144,736,1083
chuang2021_020,张欣尧,5,主题考核与第三次排名阶段,25,3,43,233,322
chuang2021_020,张欣尧,6,决赛阶段,24,6,49,203,307
chuang2021_021,俞更寅,1,初评级阶段,27,66,158,644,1026
chuang2021_021,俞更寅,2,小组竞演与主题曲阶段,25,1,11,76,99
